,fec_id,candidate_name,last_name,party,donor_count,first_quartile_bachelors_pct,second_quartile_bachelors_pct,third_quartile_bachelors_pct,fourth_quartile_bachelors_pct,first_quartile_household_income,second_quartile_household_income,third_quartile_household_income,fourth_quartile_household_income,majority_non_hispanic_white_zipcode,majority_hispanic_zipcode,majority_black_zipcode,majority_asian_zipcode,majority_indigenous_zipcode,majority_hawaiian_pacific_islander_zipcode,no_majority_ethnicity_zipcode,median_household_income,district_name,high_income_zipcode_pct,majority_white_zipcode_pct,high_bachelors_zipcode_pct
0,H0AR02206,JOYCE ANN ELLIOTT,ELLIOTT,DEM,11131,7872,1937,1030,292,3820,3004,2201,2106,8834,270,773,33,3,0,1218,66279.9249,AR-02,0.3431856976012937,0.793639385499955,0.7072140867846555
1,H0AR03105,CELESTE WILLIAMS,WILLIAMS,DEM,4006,3020,680,245,61,1837,971,601,597,3240,117,108,15,0,0,526,73477.7678,AR-03,0.45856215676485274,0.8087868197703445,0.7538691962056915
2,H0AZ01358,EVA PUTZOVA,PUTZOVA,DEM,3302,2523,488,211,80,1467,825,656,354,2551,197,74,20,8,0,452,73967.5342,AZ-01,0.44427619624470016,0.7725620835857057,0.7640823743185948
3,H0AZ08072,MICHAEL MUSCATO,MUSCATO,DEM,2294,1647,462,138,47,1192,528,361,213,1928,108,22,8,0,0,228,76835.003,AZ-08,0.5196163905841326,0.8404533565823888,0.7179598953792502
4,H0CA03078,AMERISH BERA,BERA,DEM,1745,1450,231,50,14,1100,413,135,97,1321,38,13,20,0,0,353,87022.33,CA-07,0.6303724928366762,0.7570200573065903,0.830945558739255
5,H0CA04175,BRYNNE KENNEDY,KENNEDY,DEM,3380,2543,642,137,58,2159,812,305,104,2998,43,2,42,0,0,295,88437.8201,CA-04,0.6387573964497042,0.8869822485207101,0.7523668639053255
6,H0CA08101,CHRISTINE BUBSER,BUBSER,DEM,2712,2117,304,229,62,1564,635,329,184,1951,250,13,32,1,0,465,86443.3628,CA-08,0.5766961651917404,0.7193952802359882,0.7806047197640118
7,H0CA22094,AMIR REZVANI SARABI,REZVANI SARABI,DEM,1754,1432,213,80,29,1193,324,150,87,1216,105,10,45,0,0,378,91986.8141,CA-22,0.6801596351197263,0.69327251995439,0.8164196123147093
8,H0CA22102,PHIL ARBALLO,ARBALLO,DEM,45360,34486,7142,2931,801,25883,10529,5852,3096,34234,2310,675,562,15,0,7564,82425.2231,CA-22,0.5706128747795415,0.7547178130511464,0.7602733686067019
9,H0CA23167,KIM MANGONE,MANGONE,DEM,15765,11644,2592,1186,343,8861,3669,2041,1194,11670,908,272,190,3,0,2722,81272.6239,CA-23,0.5620678718680622,0.7402473834443387,0.7385981604820806
10,H0CA25105,MICHAEL GARCIA,GARCIA,REP,20509,12378,4910,2381,840,9894,5438,3402,1775,16333,1103,233,191,8,0,2641,75805.6389,CA-25,0.4824223511629041,0.7963820761616851,0.6035399093081086
11,H0CA25154,CHRISTY SMITH,SMITH,DEM,26300,21134,3488,1273,405,16606,5449,2618,1627,19116,1413,484,293,5,0,4989,86242.7771,CA-25,0.6314068441064639,0.7268441064638783,0.8035741444866921
12,H0CA25170,CENK UYGUR,UYGUR,DEM,1038,669,244,92,33,472,292,161,113,707,74,37,9,0,0,211,71962.5905,CA-25,0.45472061657032753,0.6811175337186898,0.6445086705202312
13,H0CA27085,ADAM SCHIFF,SCHIFF,DEM,159844,119441,27025,10492,2886,86347,38602,22345,12550,125861,6851,3281,1482,78,1,22292,79717.8537,CA-28,0.5401954405545407,0.7873989639898902,0.7472348039338355
14,H0CA28182,ERIC EARLY,EARLY,REP,4332,2641,946,553,192,2069,1099,746,418,3390,290,55,38,2,1,556,74968.7105,CA-28,0.4776084949215143,0.7825484764542936,0.6096491228070176
15,H0CA34131,DAVID KIM,KIM,DEM,1162,842,201,88,31,592,263,163,144,681,114,22,47,1,0,297,76028.6944,CA-34,0.5094664371772806,0.5860585197934596,0.7246127366609294
16,H0CA42217,WILLIAM O'MARA,O'MARA,DEM,1438,979,302,122,35,713,364,196,165,902,122,52,17,0,0,345,74916.9986,CA-42,0.4958275382475661,0.627260083449235,0.6808066759388038
17,H0CA43108,JOE COLLINS,COLLINS,REP,12038,6764,3082,1618,574,5392,3256,2198,1192,9331,793,189,96,5,0,1624,72668.4443,CA-43,0.44791493603588634,0.7751287589300548,0.5618873567037714
18,H0CA48198,MICHELLE STEEL,STEEL,REP,10122,6309,2269,1139,405,5241,2515,1490,876,7262,755,92,221,6,0,1786,77569.5672,CA-48,0.51778304682869,0.717447144833037,0.6232957913455839
19,H0CA50178,DARRELL ISSA,ISSA,REP,2457,1713,453,210,81,1530,556,247,124,1699,218,6,42,0,0,492,86309.9845,CA-50,0.6227106227106227,0.6914936914936914,0.6971916971916972
20,H0CA53107,GEORGETTE GOMEZ,GOMEZ,DEM,13363,9870,2291,926,276,6401,3451,2079,1432,9474,928,385,152,8,0,2417,74850.2685,CA-53,0.4790092045199431,0.7089725361071616,0.7386066003143007
21,H0CA53123,JANESSA GOLDBECK,GOLDBECK,DEM,2012,1678,227,89,18,1171,489,223,129,1411,106,56,22,0,0,417,81428.7649,CA-53,0.5820079522862823,0.7012922465208747,0.8339960238568589
22,H0CO03157,JAMES IACINO,IACINO,DEM,1064,951,92,17,4,494,391,127,52,991,22,4,0,0,0,47,73325.3336,CO-03,0.4642857142857143,0.931390977443609,0.893796992481203
23,H0CO04197,ISAAC MCCORKLE,MCCORKLE,DEM,1920,1574,224,106,16,1081,494,248,97,1697,58,9,3,0,0,153,79419.989,CO-04,0.5630208333333333,0.8838541666666667,0.8197916666666667
24,H0CT03072,ROSA DELAURO,DELAURO,DEM,1080,954,99,23,4,770,131,68,111,861,17,11,1,0,0,190,91592.4731,CT-03,0.7129629629629629,0.7972222222222223,0.8833333333333333
25,H0FL03183,ADAM CHRISTENSEN,CHRISTENSEN,DEM,1115,804,185,98,28,529,283,164,139,852,57,18,5,0,0,183,75050.3282,FL-03,0.4744394618834081,0.7641255605381166,0.7210762331838565
