,fec_id,candidate_name,last_name,party,donor_count,first_quartile_bachelors_pct,second_quartile_bachelors_pct,third_quartile_bachelors_pct,fourth_quartile_bachelors_pct,first_quartile_household_income,second_quartile_household_income,third_quartile_household_income,fourth_quartile_household_income,majority_non_hispanic_white_zipcode,majority_hispanic_zipcode,majority_black_zipcode,majority_asian_zipcode,majority_indigenous_zipcode,majority_hawaiian_pacific_islander_zipcode,no_majority_ethnicity_zipcode,median_household_income,district_name,high_income_zipcode_pct,majority_white_zipcode_pct,high_bachelors_zipcode_pct
0,H0AR02206,JOYCE ANN ELLIOTT,ELLIOTT,DEM,7938,5361,1606,743,228,3132,1965,1315,1526,6208,268,349,33,3,0,1077,69413.4236,AR-02,0.3945578231292517,0.782060972537163,0.6753590325018897
1,H0AR03105,CELESTE WILLIAMS,WILLIAMS,DEM,3139,2463,451,179,46,1604,754,450,331,2429,117,103,15,0,0,475,77752.007,AR-03,0.5109907613889774,0.7738133163427843,0.78464479133482
2,H0AZ01358,EVA PUTZOVA,PUTZOVA,DEM,2874,2155,457,191,71,1377,674,488,335,2161,195,67,20,0,0,431,75732.9095,AZ-01,0.4791231732776618,0.7519137091162144,0.7498260264439806
3,H0AZ08072,MICHAEL MUSCATO,MUSCATO,DEM,1966,1511,303,105,47,1077,473,254,162,1610,108,20,8,0,0,220,79355.1388,AZ-08,0.5478128179043744,0.8189216683621566,0.7685656154628687
4,H0CA03078,AMERISH BERA,BERA,DEM,1376,1131,181,50,14,911,242,129,94,989,38,12,20,0,0,317,90378.2529,CA-07,0.6620639534883721,0.71875,0.8219476744186046
5,H0CA04175,BRYNNE KENNEDY,KENNEDY,DEM,1786,1616,110,46,14,1320,284,112,70,1413,43,2,40,0,0,288,96930.7984,CA-04,0.7390817469204927,0.7911534154535275,0.9048152295632699
6,H0CA08101,CHRISTINE BUBSER,BUBSER,DEM,2275,2015,178,69,13,1521,429,204,121,1591,207,11,32,1,0,433,92397.8461,CA-08,0.6685714285714286,0.6993406593406594,0.8857142857142857
7,H0CA22094,AMIR REZVANI SARABI,REZVANI SARABI,DEM,1701,1407,192,74,28,1169,310,140,82,1199,101,8,45,0,0,348,92515.0552,CA-22,0.6872427983539094,0.7048794826572604,0.8271604938271605
8,H0CA22102,PHIL ARBALLO,ARBALLO,DEM,44673,34008,7023,2853,789,25432,10421,5774,3046,33866,2255,630,562,15,0,7345,82344.6537,CA-22,0.5692924137622277,0.7580865399682135,0.761265193741186
9,H0CA23167,KIM MANGONE,MANGONE,DEM,15458,11510,2496,1124,328,8715,3564,2029,1150,11495,902,257,190,3,0,2611,81413.3218,CA-23,0.5637857420106094,0.7436278949411308,0.7445982662698926
10,H0CA25105,MICHAEL GARCIA,GARCIA,REP,19810,11872,4741,2373,824,9271,5382,3401,1756,15889,1083,230,191,8,0,2409,75171.2366,CA-25,0.4679959616355376,0.8020696617869763,0.5992932862190813
11,H0CA25154,CHRISTY SMITH,SMITH,DEM,24612,19917,3073,1265,357,15117,5295,2615,1585,18068,1362,454,293,5,0,4430,85669.8443,CA-25,0.6142125792296441,0.7341134405980823,0.8092393954168698
12,H0CA25170,CENK UYGUR,UYGUR,DEM,1015,654,239,91,31,457,289,159,110,698,71,35,9,0,0,202,71715.3566,CA-25,0.45024630541871924,0.6876847290640394,0.6443349753694582
13,H0CA27085,ADAM SCHIFF,SCHIFF,DEM,154659,114622,26795,10356,2886,83360,37063,22059,12177,122091,6118,3180,1482,78,1,21711,79740.3994,CA-28,0.5389922345288667,0.789420596279557,0.7411272541526843
14,H0CA28182,ERIC EARLY,EARLY,REP,4189,2519,937,541,192,1998,1052,731,408,3273,271,55,38,2,1,549,74828.8639,CA-28,0.47696347576987347,0.7813320601575555,0.6013368345667224
15,H0CA34131,DAVID KIM,KIM,DEM,1126,824,198,74,30,589,263,158,116,679,92,22,47,1,0,285,77212.1172,CA-34,0.5230905861456483,0.6030195381882771,0.7317939609236235
16,H0CA42217,WILLIAM O'MARA,O'MARA,DEM,1301,926,238,109,28,613,339,189,160,849,114,46,17,0,0,275,74116.0814,CA-42,0.4711760184473482,0.652574942352037,0.7117601844734819
17,H0CA43108,JOE COLLINS,COLLINS,REP,12005,6740,3074,1617,574,5385,3235,2196,1189,9326,790,187,96,5,0,1601,72679.791,CA-43,0.4485630987088713,0.7768429820907955,0.56143273635985
18,H0CA48198,MICHELLE STEEL,STEEL,REP,9657,5844,2269,1139,405,4799,2492,1490,876,6881,755,92,221,6,0,1702,76291.5284,CA-48,0.49694522108315214,0.7125401263332298,0.6051568810189499
19,H0CA50178,DARRELL ISSA,ISSA,REP,2355,1672,397,205,81,1466,529,241,119,1623,207,6,42,0,0,477,86571.5524,CA-50,0.6225053078556263,0.689171974522293,0.7099787685774946
20,H0CA53107,GEORGETTE GOMEZ,GOMEZ,DEM,12930,9462,2268,924,276,6132,3309,2078,1411,9161,907,372,152,8,0,2331,74721.8095,CA-53,0.47424593967517403,0.708507347254447,0.7317865429234339
21,H0CA53123,JANESSA GOLDBECK,GOLDBECK,DEM,1743,1418,222,85,18,991,406,223,123,1249,105,28,22,0,0,339,81340.6833,CA-53,0.5685599541021228,0.7165806081468732,0.8135398737808376
22,H0CO04197,ISAAC MCCORKLE,MCCORKLE,DEM,1539,1308,160,58,13,842,445,180,72,1340,58,8,3,0,0,130,77400.189,CO-04,0.5471085120207927,0.8706952566601689,0.8499025341130604
23,H0FL03183,ADAM CHRISTENSEN,CHRISTENSEN,DEM,1025,744,172,84,25,520,244,162,99,773,57,17,5,0,0,173,76860.0087,FL-03,0.5073170731707317,0.7541463414634146,0.7258536585365853
24,H0FL04157,DONNA DEEGAN,DEEGAN,DEM,1207,820,249,114,24,549,312,177,169,930,33,74,9,0,0,161,74081.4366,FL-04,0.45484672742336374,0.7705053852526926,0.6793703396851698
25,H0FL07150,YUKONG ZHAO,ZHAO,REP,1458,1379,52,22,5,1244,117,70,27,941,27,3,145,0,0,342,113699.2071,FL-07,0.8532235939643347,0.6454046639231824,0.9458161865569273
26,H0FL13133,AMANDA MAKKI,MAKKI,REP,2081,1461,385,184,51,1066,539,328,148,1760,70,32,9,0,0,210,80237.0735,FL-13,0.5122537241710716,0.8457472369053339,0.7020663142719846
27,H0FL13158,ANNA PAULINA LUNA,PAULINA LUNA,REP,6929,4147,1749,802,231,2715,2091,1415,708,5605,420,63,30,3,0,808,70181.4084,FL-13,0.39183143310723045,0.8089190359359215,0.5984990619136961
28,H0FL15088,ADAM HATTERSLEY,HATTERSLEY,DEM,2953,2280,433,201,39,1452,731,455,315,2392,113,59,11,2,0,376,78388.2597,FL-15,0.49170335252285813,0.8100237047070775,0.7720961733830003
29,H0FL16094,MARGARET GOOD,GOOD,DEM,1857,1459,293,88,17,761,555,371,170,1485,115,50,11,0,0,196,74346.3446,FL-16,0.4098007539041465,0.7996768982229402,0.7856758212170167
30,H0FL18199,OSVALDO VAZQUEZ,VAZQUEZ,DEM,1131,900,166,47,18,607,273,162,89,884,76,28,3,0,0,140,83658.465,FL-18,0.5366931918656057,0.7816091954022989,0.7957559681697612
31,H0FL18207,PAMELA KEITH,KEITH,DEM,2350,1735,430,151,34,1087,606,408,249,1728,124,100,12,0,0,386,74933.0523,FL-18,0.4625531914893617,0.7353191489361702,0.7382978723404255
32,H0FL19106,CINDY LYN BANYAI,BANYAI,DEM,1433,990,279,131,33,706,319,260,148,1117,64,43,4,0,0,205,76480.5903,FL-19,0.4926727145847872,0.7794836008374041,0.6908583391486393
33,H0FL19205,BYRON DONALDS,DONALDS,REP,1689,1111,353,168,57,775,469,290,155,1441,70,15,6,0,0,157,74785.7175,FL-19,0.45885139135583186,0.8531675547661338,0.6577856719952635
34,H0FL23082,JENNIFER PERELMAN,PERELMAN,DEM,5829,4049,1156,488,136,2535,1562,1014,718,4125,412,185,66,3,0,1038,72324.7248,FL-23,0.43489449305198147,0.7076685537828101,0.6946302967919026
35,H0FL26036,CARLOS GIMENEZ,GIMENEZ,REP,1855,1176,419,189,71,807,545,334,169,1296,270,30,17,0,0,242,73543.6345,FL-26,0.4350404312668464,0.6986522911051213,0.6339622641509434
36,H0GA07208,NABILAH ISLAM,ISLAM,DEM,7978,5996,1308,523,151,3982,1972,1113,911,5416,462,435,94,2,0,1569,75994.2834,GA-07,0.49912258711456503,0.6788668839308097,0.751566808723991
37,H0GA07323,ZAHRA KARINSHAK,KARINSHAK,DEM,1637,1384,190,50,13,1035,301,172,129,1206,36,86,16,0,0,293,84867.5027,GA-07,0.6322541233964569,0.7367135003054368,0.8454489920586439
38,H0GA09154,ANTWON STEPHENS,STEPHENS,DEM,1233,944,193,72,24,710,269,162,92,972,45,25,5,0,0,186,82006.901,GA-09,0.5758313057583131,0.7883211678832117,0.7656123276561233
39,H0GA09170,DEVIN PANDY,PANDY,DEM,1233,906,214,85,28,665,281,175,112,939,49,35,6,0,0,204,78627.8499,GA-09,0.5393349553933495,0.7615571776155717,0.7347931873479319
40,H0HI02155,KAIALI'I KAHELE,KAHELE,DEM,6858,5405,990,362,101,3793,1699,852,514,5001,291,151,236,2,0,1177,80884.0233,HI-02,0.5530766987459901,0.7292213473315835,0.7881306503353748
41,H0IA01174,ASHLEY ARENHOLZ,ARENHOLZ,REP,5008,2950,1236,626,196,2170,1416,943,479,4127,227,60,35,0,0,559,72756.7827,IA-01,0.4333067092651757,0.8240814696485623,0.5890575079872205
42,H0IA02156,RITA HART,HART,DEM,2781,2109,439,179,54,1361,776,448,196,2430,39,28,21,0,0,263,80406.0298,IA-02,0.4893923049262855,0.8737864077669902,0.7583603020496225
43,H0IL01178,ROBERT EMMONS,EMMONS,DEM,1154,884,183,67,20,574,285,181,114,827,62,52,7,0,0,206,76192.6291,IL-01,0.49740034662045063,0.7166377816291161,0.7660311958405546
44,H0IL03109,RUSH DARWISH,DARWISH,DEM,1103,836,208,40,19,696,230,104,73,841,36,35,16,1,0,174,81684.5974,IL-03,0.6310063463281959,0.7624660018132366,0.7579329102447869
45,H0IL06060,JEANNE IVES,IVES,REP,3260,2308,604,261,87,2041,668,365,186,2818,111,38,16,0,0,277,84311.4674,IL-06,0.6260736196319019,0.8644171779141104,0.7079754601226994
46,H0IL11052,ADAM KINZINGER,KINZINGER,REP,2582,1627,582,291,82,1288,679,401,214,2124,127,42,18,1,0,270,77734.3144,IL-16,0.4988381099922541,0.8226181254841208,0.6301316808675446
47,H0IL14197,CATALINA LAUF,LAUF,REP,2608,1696,562,256,94,1338,677,394,199,2151,127,41,15,0,0,274,77200.883,IL-14,0.5130368098159509,0.8247699386503068,0.6503067484662577
48,H0IL16184,DANI BRZOZOWSKI,BRZOZOWSKI,DEM,1034,863,124,37,10,605,185,106,138,846,25,35,1,0,0,127,82370.4564,IL-16,0.5851063829787234,0.8181818181818182,0.8346228239845261
49,H0IL17083,ESTHER KING,KING,REP,2834,1849,602,287,96,1471,710,436,217,2327,137,32,22,0,0,316,79000.1739,IL-17,0.5190543401552575,0.8211009174311926,0.6524347212420607
50,H0IN05219,CHRISTINA HALE,HALE,DEM,2509,1759,395,303,52,1109,476,538,386,2253,29,32,7,0,0,189,74988.6209,IN-05,0.4420087684336389,0.8979673176564368,0.7010761259465923
51,H0IN08114,LARRY BUCSHON,BUCSHON,REP,2320,1411,545,283,81,1090,642,388,200,1883,123,38,17,1,0,258,75269.3142,IN-08,0.4698275862068966,0.8116379310344828,0.6081896551724137
52,H0KS02196,MICHELLE DE LA ISLA,DE LA ISLA,DEM,2659,2132,350,140,37,1374,677,395,213,2134,98,60,32,0,0,335,79149.1805,KS-02,0.5167356148928168,0.8025573523881159,0.8018051899210229
53,H0KY04117,ALEXANDRA OWENSBY,OWENSBY,DEM,1130,828,197,89,16,585,251,170,124,916,38,24,11,0,0,141,77609.3601,KY-04,0.5176991150442478,0.8106194690265487,0.7327433628318584
54,H0KY06104,ANDY BARR,BARR,REP,6208,3618,1576,764,250,2743,1709,1137,619,5079,311,109,42,3,0,664,73409.2008,KY-06,0.4418492268041237,0.8181378865979382,0.5827963917525774
55,H0KY06179,JOSH HICKS,HICKS,DEM,5277,3870,908,386,113,2730,1250,818,479,4274,179,140,23,0,0,661,79294.5556,KY-06,0.5173393973848778,0.8099298844040175,0.7333712336554861
56,H0LA01087,STEVE SCALISE,SCALISE,REP,137190,80563,33731,17313,5583,59823,38304,25588,13475,114613,5693,1903,617,64,0,14300,72386.1345,LA-01,0.43605947955390334,0.8354326117063926,0.5872366790582404
57,H0MA01081,ALEX MORSE,MORSE,DEM,7492,5914,1069,400,109,3919,1782,1040,751,5647,356,262,50,5,0,1172,78159.3893,MA-01,0.5230912973838762,0.753737319807795,0.7893753336892686
58,H0MA04143,IHSSANE LECKEY,LECKEY,DEM,1620,1313,204,83,20,903,354,220,143,1240,58,66,6,1,0,249,78556.7537,MA-04,0.5574074074074075,0.7654320987654321,0.8104938271604938
59,H0MA04168,REBECCA WALKER GROSSMAN,GROSSMAN,DEM,1076,985,70,18,3,845,129,63,39,970,20,11,2,0,0,73,100100.4795,MA-04,0.7853159851301115,0.9014869888475836,0.9154275092936803
60,H0MA04176,ALAN KHAZEI,KHAZEI,DEM,1573,1499,53,20,1,1254,174,90,55,1380,26,19,8,0,0,140,104572.8264,MA-04,0.7972027972027972,0.87730451366815,0.9529561347743166
61,H0MA04184,JESSE MERMELL,MERMELL,DEM,1704,1502,157,33,12,1234,247,145,78,1424,44,47,7,0,0,182,92433.5944,MA-04,0.7241784037558685,0.8356807511737089,0.8814553990610329
